EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 21-01-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, RV555 SOTRABRUA (STAID: 19144).
Blended and updated with sources: 105463 199130 199724 200691 200866 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
200866,19790101, -117,    0
200866,19790102,  -90,    0
200866,19790103,  -35,    0
200866,19790104,  -12,    0
200866,19790105,   -6,    0
200866,19790106,   27,    0
200866,19790107,   44,    0
200866,19790108,   24,    0
200866,19790109,   18,    0
200866,19790110,    4,    0
200866,19790111,  -11,    0
200866,19790112,  -20,    0
200866,19790113,  -10,    0
200866,19790114,  -28,    0
200866,19790115,  -27,    0
200866,19790116,   25,    0
200866,19790117,   41,    0
200866,19790118,    5,    0
200866,19790119,   -9,    0
200866,19790120,  -25,    0
200866,19790121,  -11,    0
200866,19790122,  -13,    0
200866,19790123,  -29,    0
200866,19790124,  -34,    0
200866,19790125,  -25,    0
200866,19790126,  -52,    0
200866,19790127,  -39,    0
200866,19790128,   -9,    0
200866,19790129,   -8,    0
200866,19790130,  -39,    0
200866,19790131,   -8,    0
200866,19790201,    8,    0
200866,19790202,   -6,    0
200866,19790203,  -12,    0
200866,19790204,   -2,    0
200866,19790205,    4,    0
200866,19790206,    4,    0
200866,19790207,   -2,    0
200866,19790208,  -13,    0
200866,19790209,  -20,    0
200866,19790210,   -6,    0
200866,19790211,  -14,    0
200866,19790212,  -34,    0
200866,19790213,  -30,    0
200866,19790214,  -85,    0
200866,19790215,  -29,    0
200866,19790216,  -34,    0
200866,19790217,  -23,    0
200866,19790218,   23,    0
200866,19790219,    4,    0
200866,19790220,   20,    0
200866,19790221,    4,    0
200866,19790222,    0,    0
200866,19790223,    6,    0
200866,19790224,    9,    0
200866,19790225,   29,    0
200866,19790226,   40,    0
200866,19790227,   29,    0
200866,19790228,   11,    0
200866,19790301,   13,    0
200866,19790302,   40,    0
200866,19790303,   52,    0
200866,19790304,   37,    0
200866,19790305,   46,    0
200866,19790306,   52,    0
200866,19790307,   32,    0
200866,19790308,   24,    0
200866,19790309,   20,    0
200866,19790310,    9,    0
200866,19790311,   25,    0
200866,19790312,   33,    0
200866,19790313,   14,    0
200866,19790314,    6,    0
200866,19790315,   -5,    0
200866,19790316,  -11,    0
200866,19790317,  -26,    0
200866,19790318,  -47,    0
200866,19790319,  -10,    0
200866,19790320,   10,    0
200866,19790321,   24,    0
200866,19790322,   31,    0
200866,19790323,   13,    0
200866,19790324,   21,    0
200866,19790325,   31,    0
200866,19790326,   54,    0
200866,19790327,   47,    0
